place_id,facility_name,facility_type,address,longitude,latitude,operation_status,public_access_verified,study_access_verified,reading_seats,source_name,source_url,source_record_id,source_reference_date,coordinate_status,source_tier,aggregation_eligible,notes,snapshot_date,coordinate_in_seoul,primary_purpose,activity_mode,economic_activity_required,study_suitability_evidence,evidence_strength,mandatory_purchase,large_cafe_floor_area_m2,wifi_verified,classification_rule,inside_reachable_area_count,reachable_area_count_400m,nearest_area_code,nearest_area_name,nearest_area_distance_m,reachable_by_user_input,reachability_rule
library:poi:01143,창북중학교 도서관,public_library,서울특별시 도봉구 도봉구 노해로 62길 33,127.0385766,37.6494708,listed_stale_unverified,1,0,0.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01143,2018-05-01,valid_wgs84,official_standard_data,1,학교도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,4,3110396,쌍문역1번(쌍리단길),51.363,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01108,책이랑친구랑작은도서관,public_library,서울특별시 노원구 노원로1길 68,127.083378,37.62128685,listed_in_standard_data,1,1,8.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01108,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3110250,화랑대역 7번,337.816,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01403,청구동 작은도서관,public_library,서울특별시 중구 다산로24가길 23,127.015977,37.556314,listed_in_standard_data,1,1,40.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01403,2025-11-13,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,6,3110054,청구역 3번,64.381,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:00949,청담도서관,public_library,서울특별시 강남구 압구정로79길 26 (청담문화센터 7층),127.0492911,37.52509211,listed_in_standard_data,1,1,72.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:00949,2025-12-26,valid_wgs84,official_standard_data,1,공공도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,4,3120208,청담사거리(청담동명품거리),0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01295,청소년 푸르미르 작은도서관,public_library,서울특별시 용산구 이촌로71길 24,126.9732982,37.5213567,listed_in_standard_data,1,1,34.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01295,2025-08-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,2,3130058,이촌종합시장,110.507,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01227,청수도서관,public_library,서울특별시 성북구 보국문로16가길 20,127.010773,37.611747,listed_in_standard_data,1,1,95.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01227,2026-07-29,valid_wgs84,official_standard_data,1,공공도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,1,3110295,정릉우체국,228.511,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01385,청운효자동 북카페,public_library,서울특별시 종로구 자하문로 92(청운효자동 주민센터 2층),126.9706225,37.5840909,listed_in_standard_data,1,1,41.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01385,2025-12-02,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,4,3120002,서촌(경복궁역),66.197,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01296,청파 어린이 영어도서관,public_library,서울특별시 용산구 청파로49길 34,126.9685013,37.5454737,listed_in_standard_data,1,1,24.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01296,2025-08-05,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,1,7,3110069,숙대입구,0.0,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01168,초록숲도서관,public_library,"서울특별시 마포구 마포대로11길 44-81, B1층",126.9512251,37.5521611,listed_in_standard_data,1,1,50.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01168,2025-11-28,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,3,3110585,마포경찰서,202.202,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
library:poi:01109,초안산숲속작은도서관,public_library,서울특별시 노원구 덕릉로 60길 199,127.0444276,37.63208014,listed_in_standard_data,1,1,50.0,전국도서관표준데이터,https://www.data.go.kr/data/15013109/standard.do,poi:01109,2026-04-08,valid_wgs84,official_standard_data,1,작은도서관,2026-09-21,1,study_stay,stay,0,public reading space or recorded reading seats,high,0,,,public_or_explicit_study_facility,0,1,3110381,번동주공2단지,293.937,1,Dongdaemun origins; public transit <=30min; all 08/14/19 ratios >=25%; POI inside or <=400m
