place_id,place_type,place_name,category_name,address_name,road_address_name,longitude,latitude,snapshot_date,source
11306012,starbucks,스타벅스 강남서초초교점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 서초구 서초동 1307-19,서울 서초구 서초대로77길 27,127.0255526536779,37.50015830491417,2026-09-18,Kakao Local keyword search
11314582,starbucks,스타벅스 건대스타시티점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 광진구 자양동 227-7,서울 광진구 아차산로 272,127.07339885294076,37.53841737800415,2026-09-18,Kakao Local keyword search
1132693025,starbucks,스타벅스 신촌오거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 노고산동 54-1,서울 마포구 신촌로16길 10,126.934699199575,37.5551906225976,2026-09-18,Kakao Local keyword search
1135246548,starbucks,투루카 구리갈매스타벅스DT 주차타워 지상2층,"교통,수송 > 교통시설 > 카셰어링 > 투루카",경기 구리시 갈매동 553,경기 구리시 갈매순환로 148,127.12275640753,37.632379638913,2026-09-18,Kakao Local keyword search
113668696,starbucks,스타벅스 강남오거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 역삼동 813-17,서울 강남구 봉은사로2길 39,127.026671808376,37.5021150424068,2026-09-18,Kakao Local keyword search
1162647402,starbucks,스타벅스 구리인창DT점 주차장,"교통,수송 > 교통시설 > 주차장",경기 구리시 인창동 344-6,경기 구리시 건원대로 53,127.139353348085,37.6056649524741,2026-09-18,Kakao Local keyword search
1179180669,starbucks,스타벅스 양원역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 중랑구 망우동 618,서울 중랑구 양원역로10길 3,127.10635956329574,37.60665344673527,2026-09-18,Kakao Local keyword search
119957965,starbucks,스타벅스 미아이마트,음식점 > 카페 > 커피전문점 > 스타벅스,서울 성북구 길음동 864-9,서울 성북구 도봉로 17,127.02993389843303,37.61086285147552,2026-09-18,Kakao Local keyword search
1201355052,starbucks,스타벅스 공덕점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 마포구 공덕동 254-8,서울 마포구 마포대로 130,126.952953039723,37.5459118163509,2026-09-18,Kakao Local keyword search
12108442,starbucks,스타벅스 르네상스사거리점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 역삼동 706-1,서울 강남구 테헤란로 306,127.044391557267,37.5027368125577,2026-09-18,Kakao Local keyword search
12108451,starbucks,스타벅스 마로니에공원점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 동숭동 1-115,서울 종로구 대학로 116,127.00233671288821,37.58153304738773,2026-09-18,Kakao Local keyword search
12108453,starbucks,스타벅스 압구정미소점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강남구 신사동 583-3,서울 강남구 논현로 841,127.02809251992616,37.52394874556268,2026-09-18,Kakao Local keyword search
1213146248,starbucks,스타벅스 이촌점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 용산구 이촌동 300-20,서울 용산구 이촌로 276,126.977267855613,37.5186474971495,2026-09-18,Kakao Local keyword search
1226436866,starbucks,스타벅스 길음뉴타운점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 성북구 길음동 542-1,서울 성북구 길음로 11,127.02336271953484,37.60364740781677,2026-09-18,Kakao Local keyword search
1227426807,starbucks,스타벅스 리저브 광화문점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 종로구 세종로 100,서울 종로구 세종대로 178,126.97767941203776,37.57242641251093,2026-09-18,Kakao Local keyword search
1255094197,starbucks,스타벅스 강동구청DT점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 강동구 성내동 550,서울 강동구 성내로 32,127.12383613307597,37.52921208375212,2026-09-18,Kakao Local keyword search
12562041,starbucks,스타벅스 여의도의사당점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 영등포구 여의도동 13-19,서울 영등포구 국회대로74길 12,126.921036165805,37.5301957610022,2026-09-18,Kakao Local keyword search
12569379,starbucks,스타벅스 석촌역점,음식점 > 카페 > 커피전문점 > 스타벅스,서울 송파구 석촌동 286-9,서울 송파구 백제고분로 358,127.106197301854,37.5043516638645,2026-09-18,Kakao Local keyword search
