quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,access_score,lagged_sales_signal,path_v0_score,purpose_rank
20254,3120059,공부,구삼강변맛길,발달상권,구의3동,광진구,0.9161676646706588,0.9041916167664672,0.9161676646706588,0.9041916167664672,0.9121756487025948,core_80pct_all_periods,11.0,0.0,0.0,0.04044117647058824,0.0,0.0,98.91857506361323,96.94656488549617,50.0,50.0,50.0,98.22837150127226,50.0,59.42748091603054,50.0,94.34828244274809,1.0
20254,3110241,공부,먹골역 5번,골목상권,묵2동,중랑구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,5.0,0.0,0.0,0.024509803921568627,0.0,0.0,94.3384223918575,92.87531806615776,50.0,50.0,50.0,93.82633587786259,50.0,95.55979643765903,50.0,93.99968193384224,2.0
20254,3110220,공부,외대앞역 1번,골목상권,이문1동,동대문구,0.9910179640718564,0.997005988023952,1.0,0.9910179640718564,0.996007984031936,core_80pct_all_periods,5.0,0.0,0.0,0.021367521367521368,0.0,0.0,94.3384223918575,90.96692111959288,50.0,50.0,50.0,93.15839694656489,50.0,85.31806615776082,50.0,92.37436386768448,3.0
20254,3120064,공부,경희대학교(경희대),발달상권,회기동,동대문구,0.9670658682634732,0.9730538922155688,0.9730538922155688,0.9670658682634732,0.9710578842315368,core_80pct_all_periods,6.0,0.0,0.0,0.02,0.0,0.0,96.2468193384224,89.8854961832061,50.0,50.0,50.0,94.0203562340967,50.0,70.81424936386769,50.0,91.69974554707379,4.0
20254,3120067,공부,장안동사거리,발달상권,장안2동,동대문구,0.9910179640718564,0.9880239520958084,0.997005988023952,0.9880239520958084,0.9920159680638724,core_80pct_all_periods,9.0,0.0,0.0,0.012482662968099861,0.0,0.0,98.2824427480916,81.93384223918575,50.0,50.0,50.0,92.56043256997455,50.0,82.39185750636132,50.0,91.54357506361322,5.0
20254,3110168,공부,대원고등학교,골목상권,중곡4동,광진구,0.9850299401197604,0.9580838323353292,0.9880239520958084,0.9580838323353292,0.9770459081836328,core_80pct_all_periods,4.0,0.0,0.0,0.043010752688172046,0.0,0.0,91.66666666666666,97.45547073791349,50.0,50.0,50.0,93.69274809160305,50.0,69.22391857506362,50.0,91.2458651399491,6.0
20254,3130099,공부,전농로터리시장,전통시장,전농1동,동대문구,1.0,1.0,1.0,1.0,1.0,core_80pct_all_periods,3.0,0.0,0.0,0.033707865168539325,0.0,0.0,87.78625954198473,95.67430025445293,50.0,50.0,50.0,90.5470737913486,50.0,95.55979643765903,50.0,91.04834605597965,7.0
20254,3110165,공부,국립정신건강센터,골목상권,중곡2동,광진구,0.9850299401197604,0.9580838323353292,0.9880239520958084,0.9580838323353292,0.9770459081836328,core_80pct_all_periods,4.0,0.0,0.0,0.03571428571428571,0.0,0.0,91.66666666666666,96.2468193384224,50.0,50.0,50.0,93.26972010178116,50.0,69.22391857506362,50.0,90.86513994910942,8.0
20254,3110272,공부,신내1동주민센터,골목상권,신내1동,중랑구,0.6976047904191617,0.655688622754491,0.6646706586826348,0.655688622754491,0.6726546906187624,base_50pct_all_periods,8.0,0.0,0.0,0.028169014084507043,0.0,0.0,97.90076335877863,93.89312977099237,50.0,50.0,50.0,96.49809160305344,50.0,38.18066157760814,50.0,90.66634860050891,9.0
20254,3120070,공부,한성대입구역,발달상권,삼선동,성북구,0.8233532934131736,0.7694610778443114,0.8203592814371258,0.7694610778443114,0.8043912175648703,base_50pct_all_periods,6.0,0.0,0.0,0.024390243902439025,0.0,0.0,96.2468193384224,92.68447837150127,50.0,50.0,50.0,95.0,50.0,48.358778625954194,50.0,90.33587786259542,10.0
20254,3120054,공부,어린이대공원역,발달상권,화양동,광진구,0.9520958083832336,0.9221556886227544,0.940119760479042,0.9221556886227544,0.93812375249501,core_80pct_all_periods,7.0,0.0,0.0,0.016091954022988506,0.0,0.0,97.264631043257,86.1323155216285,50.0,50.0,50.0,93.36832061068702,50.0,62.86259541984733,50.0,90.31774809160305,11.0
20254,3110317,공부,종암중학교,골목상권,종암동,성북구,0.8652694610778443,0.8682634730538922,0.8682634730538922,0.8652694610778443,0.8672654690618762,core_80pct_all_periods,4.0,0.0,0.0,0.05555555555555555,0.0,0.0,91.66666666666666,98.60050890585241,50.0,50.0,50.0,94.09351145038167,50.0,56.18320610687023,50.0,90.30248091603053,12.0
20254,3110413,공부,누원고등학교,골목상권,도봉2동,도봉구,0.625748502994012,0.592814371257485,0.6227544910179641,0.592814371257485,0.6137724550898204,base_50pct_all_periods,5.0,0.0,0.0,0.09433962264150944,0.0,0.0,94.3384223918575,99.61832061068702,50.0,50.0,50.0,96.18638676844783,50.0,30.674300254452923,50.0,89.63517811704834,13.0
20254,3110312,공부,안암역 2번,골목상권,안암동,성북구,0.8892215568862275,0.8802395209580839,0.9041916167664672,0.8802395209580839,0.8912175648702595,core_80pct_all_periods,4.0,0.0,0.0,0.03305785123966942,0.0,0.0,91.66666666666666,95.41984732824427,50.0,50.0,50.0,92.98027989821882,50.0,57.45547073791349,50.0,89.42779898218829,14.0
20254,3120245,공부,둔촌역,발달상권,성내3동,강동구,0.5538922155688623,0.5419161676646707,0.5748502994011976,0.5419161676646707,0.5568862275449101,base_50pct_all_periods,13.0,0.0,0.0,0.021848739495798318,0.0,0.0,99.42748091603053,91.22137404580153,50.0,50.0,50.0,96.55534351145037,50.0,23.80407124681934,50.0,89.28021628498728,15.0
20254,3120248,공부,명일역,발달상권,명일1동,강동구,0.497005988023952,0.4730538922155688,0.5119760479041916,0.4730538922155688,0.4940119760479042,exploration_25pct_all_periods,12.0,0.0,0.0,0.026490066225165563,0.0,0.0,99.23664122137404,93.63867684478372,50.0,50.0,50.0,97.27735368956743,50.0,17.06106870229008,50.0,89.2557251908397,16.0
20254,3110314,공부,종암경찰서,골목상권,종암동,성북구,0.7544910179640718,0.7455089820359282,0.7245508982035929,0.7245508982035929,0.7415169660678643,base_50pct_all_periods,5.0,0.0,0.0,0.027624309392265192,0.0,0.0,94.3384223918575,93.76590330788804,50.0,50.0,50.0,94.13804071246818,50.0,43.969465648854964,50.0,89.12118320610686,17.0
20254,3110247,공부,먹골역 1번,골목상권,묵1동,중랑구,1.0,0.994011976047904,0.997005988023952,0.994011976047904,0.997005988023952,core_80pct_all_periods,3.0,0.0,0.0,0.02027027027027027,0.0,0.0,87.78625954198473,90.20356234096693,50.0,50.0,50.0,88.6323155216285,50.0,87.86259541984734,50.0,88.55534351145039,18.0
20254,3120153,공부,노량진역(노량진),발달상권,노량진1동,동작구,0.3263473053892216,0.2544910179640718,0.3083832335329341,0.2544910179640718,0.2964071856287425,exploration_25pct_all_periods,44.0,0.0,0.0,0.029470864032150032,0.0,0.0,100.0,94.40203562340967,50.0,50.0,50.0,98.04071246819339,50.0,0.45801526717557256,50.0,88.28244274809161,19.0
20254,3120061,공부,올림픽대교북단,발달상권,구의3동,광진구,0.7574850299401198,0.7395209580838323,0.7664670658682635,0.7395209580838323,0.7544910179640718,base_50pct_all_periods,4.0,0.0,0.0,0.02877697841726619,0.0,0.0,91.66666666666666,94.0203562340967,50.0,50.0,50.0,92.49045801526717,50.0,46.00508905852417,50.0,87.84192111959287,20.0
20254,3120025,쇼핑,롯데백화점(시청광장 지하쇼핑센터),발달상권,소공동,중구,0.9221556886227544,0.9311377245508982,0.940119760479042,0.9221556886227544,0.9311377245508982,core_80pct_all_periods,926.0,35207370810.0,24971977387.0,0.904296875,0.9009021309931327,0.7092826533899309,97.96437659033079,96.69211195928753,94.78371501272265,92.49363867684478,93.89312977099237,97.51908396946564,93.9885496183206,62.86259541984733,91.63486005089058,95.75381679389312,1.0
