emdcd,emdnm,sggnm,ratio_08,ratio_14,ratio_19,periods_above_threshold,minimum_period_ratio,mean_period_ratio,time_stability
1111070000,숭인1동,종로구,0.9491017964071856,0.9670658682634732,0.9760479041916168,3,0.9491017964071856,0.9640718562874252,all_three_periods
1111063000,종로5·6가동,종로구,0.9491017964071856,0.9580838323353292,0.9790419161676648,3,0.9491017964071856,0.9620758483033932,all_three_periods
1121578000,능동,광진구,0.9880239520958084,0.9461077844311376,0.9760479041916168,3,0.9461077844311376,0.9700598802395209,all_three_periods
1114060500,을지로동,중구,0.9461077844311376,0.9580838323353292,0.9670658682634732,3,0.9461077844311376,0.9570858283433132,all_three_periods
1123071000,회기동,동대문구,0.9461077844311376,0.9550898203592816,0.9550898203592816,3,0.9461077844311376,0.9520958083832336,all_three_periods
1111061500,종로1·2·3·4가동,종로구,0.94311377245509,0.9640718562874252,0.9760479041916168,3,0.94311377245509,0.9610778443113773,all_three_periods
1120059000,금호1가동,성동구,0.9640718562874252,0.940119760479042,0.9700598802395208,3,0.940119760479042,0.9580838323353293,all_three_periods
1129077000,장위2동,성북구,0.9670658682634732,0.9491017964071856,0.937125748502994,3,0.937125748502994,0.9510978043912175,all_three_periods
1114066500,동화동,중구,0.937125748502994,0.940119760479042,0.9580838323353292,3,0.937125748502994,0.9451097804391217,all_three_periods
1114062500,다산동,중구,0.937125748502994,0.934131736526946,0.9640718562874252,3,0.934131736526946,0.9451097804391217,all_three_periods
1121573000,군자동,광진구,0.9760479041916168,0.9311377245508982,0.9550898203592816,3,0.9311377245508982,0.9540918163672655,all_three_periods
1121584700,자양4동,광진구,0.9491017964071856,0.9251497005988024,0.9311377245508982,3,0.9251497005988024,0.935129740518962,all_three_periods
1121575000,중곡2동,광진구,0.9520958083832336,0.9191616766467066,0.9311377245508982,3,0.9191616766467066,0.934131736526946,all_three_periods
1135061100,하계1동,노원구,0.940119760479042,0.9191616766467066,0.9221556886227544,3,0.9191616766467066,0.9271457085828344,all_three_periods
1114055000,명동,중구,0.9131736526946108,0.9161676646706588,0.9281437125748504,3,0.9131736526946108,0.9191616766467066,all_three_periods
