area_code,area_name,feature_snapshot_date,historical_2025_use_allowed,area_type_name,access_tier,coverage_status,operation_status,viewing_exhibition_buffer400_count,has_viewing_exhibition_buffer400,performance_culture_buffer400_count,has_performance_culture_buffer400,outdoor_park_buffer400_count,has_outdoor_park_buffer400,sports_activity_buffer400_count,has_sports_activity_buffer400,leisure_subtype_total_buffer400_count,leisure_subtype_diversity
3130125,장위전통시장,2026-09-16,False,전통시장,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3130124,번동시장,2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,2,True,0,False,0,False,3,2
3130122,밤나무골시장,2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,1,True,0,False,1,1
3130121,길음시장,2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,1,True,0,False,2,2
3130120,돈암시장(돈암제일시장),2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,1,True,0,False,0,False,3,2
3130123,꿈의숲 장곡 골목형상점가,2026-09-16,False,전통시장,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,2,True,0,False,0,False,3,2
3120075,월곡역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,1,True,0,False,2,2
3120074,안암역,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,0,False,0,False,0,False,2,1
3120073,미아사거리,2026-09-16,False,발달상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,1,True,0,False,2,2
3120072,성신여대,2026-09-16,False,발달상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,3,True,1,True,0,False,0,False,4,2
3120071,성북구청,2026-09-16,False,발달상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,2,True,2,True,0,False,0,False,4,2
3120070,한성대입구역,2026-09-16,False,발달상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,6,True,9,True,0,False,0,False,15,2
3110336,석관고등학교,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3110335,석계역 7번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3110334,석관중앙교회,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,0,False,0,False,1,1
3110333,돌곶이역 5번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,0,False,0,False,1,1
3110332,돌곶이역 3번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3110331,돌곶이역 8번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,1,True,0,False,2,2
3110330,돌곶이역 1번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,1,True,0,False,1,1
3110329,우리은행체육관,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,0,False,0,False,1,1
3110328,상월곡역 3번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,1,True,0,False,2,2
3110327,상월곡역 2번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,1,True,0,False,2,2
3110326,장위동성당,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3110325,장곡초등학교,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,2,True,0,False,0,False,3,2
3110324,월곡역 4번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,1,True,0,False,0,False,1,1
3110320,KB국민은행 종암동지점,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,0,False,0,False,0,False,0,False,0,0
3110321,동덕여대,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,0,False,2,True,0,False,3,2
3110322,장위1동주민센터,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,2,True,1,True,0,False,4,3
3110323,상월곡역 1번,2026-09-16,False,골목상권,core_80pct_all_periods,source_snapshot_partial,mixed_source_status,1,True,1,True,1,True,0,False,3,3
3110280,북정마을,2026-09-16,False,골목상권,exploration_25pct_all_periods,source_snapshot_partial,mixed_source_status,3,True,2,True,1,True,0,False,6,3
3110283,성북초등학교앞,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,7,True,3,True,0,False,0,False,10,2
3110285,홍대부중,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,7,True,4,True,0,False,0,False,11,2
3110286,한성대입구역 5번,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,11,True,20,True,1,True,0,False,32,3
3110288,동구여중,2026-09-16,False,골목상권,base_50pct_all_periods,source_snapshot_partial,mixed_source_status,4,True,8,True,0,False,0,False,12,2
