area_code,area_name,area_type_name,evaluated_quarters,above_expected_quarters,below_expected_quarters,mean_residual_z,mean_actual_to_expected_log_gap,persistent_gap
3110305,보문역 5번,골목상권,4,0,0,0.058566907418154734,0.11909779385851404,not_persistent
3110166,구의1동주민센터,골목상권,4,0,0,0.058243380950438246,0.11564381924950418,not_persistent
3111060,암사역 2번(서울강동초등학교),골목상권,4,0,0,0.05645483124831334,0.11834455302508662,not_persistent
3120057,아차산역,발달상권,4,0,0,0.051141478080054384,0.10721968092970169,not_persistent
3120001,서대문역,발달상권,4,0,0,0.050955604591800284,0.10353272842200312,not_persistent
3130108,태능엔터피아(태릉시장),전통시장,4,0,0,0.0506087405180128,0.10895689601672398,not_persistent
3130124,번동시장,전통시장,4,0,0,0.048725873201026615,0.10046412349581779,not_persistent
3110429,공릉동 국수거리,골목상권,4,0,0,0.048675793564077335,0.10112559012426026,not_persistent
3110319,종암동주민센터,골목상권,4,0,0,0.0462412890753448,0.09683018682979494,not_persistent
3110376,수송초등학교,골목상권,4,0,0,0.0454421134193455,0.09372541261588552,not_persistent
3110102,옥수역 6번,골목상권,4,0,0,0.04469464630583962,0.09106231364788364,not_persistent
3111010,석촌역 7번,골목상권,4,0,0,0.04404508969993673,0.08851625542612496,not_persistent
3110077,삼광초등학교,골목상권,4,0,0,0.04212985862754182,0.08822554178668263,not_persistent
3120059,구삼강변맛길,발달상권,4,0,0,0.04163889232311381,0.08275297268952819,not_persistent
3110227,답십리공원,골목상권,4,0,0,0.04099650744387092,0.0820486104802356,not_persistent
3120094,"신촌역(신촌역, 신촌로터리)",발달상권,4,0,0,0.04041441261006015,0.08365293360205328,not_persistent
3110079,후암동주민센터,골목상권,4,0,0,0.04009862698279411,0.08094979440883421,not_persistent
3120056,구의역,발달상권,4,0,0,0.03860336979105486,0.07751153141581657,not_persistent
3110030,동대문역 3번,골목상권,4,0,0,0.03784741521164454,0.07507957306135449,not_persistent
3120047,한남오거리,발달상권,4,0,0,0.03657058763986144,0.07342672568231023,not_persistent
3110328,상월곡역 3번,골목상권,4,0,0,0.03606708574700475,0.07569676504270983,not_persistent
3110369,성신여대운정그린캠퍼스,골목상권,4,0,0,0.03594763802158533,0.07038459395969454,not_persistent
3130031,청계천공구상가,전통시장,4,0,0,0.03555115740130762,0.07178610262336793,not_persistent
3110091,리움미술관,골목상권,4,0,0,0.033831818155032584,0.05793065455106294,not_persistent
3111022,석촌중학교(방이육교),골목상권,4,0,0,0.03367153323285482,0.05883124272881535,not_persistent
3110304,보문역 4번,골목상권,4,0,0,0.033652747261164864,0.06601359392357242,not_persistent
3110136,경수초등학교,골목상권,4,0,0,0.03350611863345991,0.0694483970632147,not_persistent
3120107,공덕역(공덕오거리),발달상권,4,0,0,0.033334042178179146,0.06777146929477951,not_persistent
