quarter,area_code,area_name,area_type_name,area_m2,store_count,industry_entropy,sales_amount,log_store_count,log_area_m2,log_sales,expected_log_sales,log_residual,residual_z,gap_direction
20251,3001491,이태원 관광특구,관광특구,372565.2657110193,1689,3.230879179665839,82660207395.0,7.432483807917119,12.828170195506623,25.13800415505177,25.309957704291477,-0.1719535492397064,-0.042775830424332584,within_expected
20251,3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,983617.8774112152,8495,3.0649124704506825,452474259100.0,9.04735074348172,13.798993781302691,26.837996712503685,26.09201130902128,0.745985403482404,0.3640842951940824,within_expected
20251,3001493,동대문패션타운 관광특구,관광특구,606058.325601367,13310,0.9169759084992855,109387442683.0,9.496346040047019,13.314733157291808,25.418161936836107,24.556256993974223,0.8619049428618837,0.4154635707044024,within_expected
20251,3001494,종로·청계 관광특구,관광특구,653126.9528732524,4284,3.3682819688530614,231175233640.0,8.36287583103188,13.389528335270743,26.166441847076847,26.09201130902128,0.07443053805556588,0.06642953711134496,within_expected
20251,3001495,잠실 관광특구,관광특구,2462734.2001427854,3056,3.617134368356803,355421555936.0,8.025189321890835,14.716783160215668,26.596570403435997,26.09201130902128,0.5045590944147165,0.2570763747396968,within_expected
20251,3001496,강남 마이스 관광특구,관광특구,237891.6663573156,1044,2.940161190983368,85237387905.0,6.951772164398911,12.379574869238832,25.16870599971386,24.85826191854101,0.31044408117285016,0.17103834526311668,within_expected
20251,3110002,독립문역 1번,골목상권,31531.04300374453,64,3.26065426270005,5162730816.0,4.174387269895637,10.358759545991647,22.364731504548857,20.90632555254467,1.4584059520041883,0.6798520409740807,within_expected
20251,3110004,대신고등학교,골목상권,18780.704446120588,37,3.058090416881858,579851458.0,3.6375861597263857,9.840638507223314,20.178282523531795,18.82582221386328,1.3524603096685155,0.6328935180553297,within_expected
20251,3110007,사직공원(한국사회과학도서관),골목상권,80251.83894487291,49,2.952810411833563,37670299.0,3.912023005428146,11.292937416626636,17.44438254353351,18.670158379105263,-1.2257758355717527,-0.5098638285151387,within_expected
20251,3110008,배화여자대학교(박노수미술관),골목상권,149264.36523757543,310,3.3911553076257026,4159614563.0,5.739792912179234,11.913480975621393,22.148688254042423,22.659522453693544,-0.5108341996511214,-0.19297865555466376,within_expected
20251,3110012,성곡미술관,골목상권,124347.66686806065,129,3.3973887406335215,3807390867.0,4.867534450455582,11.73084472837039,22.06020997994593,21.78080922227624,0.2794007576696913,0.157278943875199,within_expected
20251,3110013,체부동홍종문가옥,골목상권,17064.3588498772,34,2.5583204796763543,35845450.0,3.5553480614894135,9.744805889533263,17.39472722714002,16.776056942330026,0.6186702848099941,0.3076541317038296,within_expected
20251,3110015,청와대사랑채,골목상권,69398.95954118522,21,2.309632530938063,833702013.0,3.091042453358316,11.147641563514686,20.541386599115,14.863886765052802,5.677499834062198,2.5498904152685338,above_expected
20251,3110017,정독도서관,골목상권,83855.15748324657,51,2.5938412927716947,50724343.0,3.9512437185814275,11.3368581990602,17.741916511113473,19.76946572591343,-2.027549214799958,-0.8652356283749522,within_expected
20251,3110018,중앙고등학교,골목상권,166872.17516396183,180,3.3592556438680945,1341853785.0,5.198497031265826,12.024989372729815,21.017317917250182,21.29460038464208,-0.277282467391899,-0.08946100131022934,within_expected
20251,3110019,창덕궁,골목상권,40998.849672994496,205,3.0991933812670704,2387949254.0,5.327876168789581,10.621323679167395,21.593700782250984,22.237140726276202,-0.6434399440252179,-0.25175379485317145,within_expected
20251,3110020,서울국제고등학교,골목상권,133691.5056702134,132,3.1588843886095272,2046756281.0,4.890349128221754,11.803297708192238,21.439522075472258,21.479708945490973,-0.040186870018715126,0.0156274081583573,within_expected
20251,3110021,성균관대학교,골목상권,77655.4493769536,151,3.2699568015294123,1994734960.0,5.0238805208462765,11.260049882139427,21.413777026833607,21.85551241933644,-0.44173539250283156,-0.16235183742796125,within_expected
20251,3110022,경신고등학교,골목상권,60181.73051710444,104,3.491023483631211,1071078552.0,4.653960350157523,11.005140721655641,20.791931971193897,21.402219042492614,-0.6102870712987176,-0.23705937326651214,within_expected
20251,3110023,서울대병원,골목상권,15968.9220025438,33,2.666626072108692,856619983.0,3.5263605246161616,9.678462357198622,20.568504952315397,20.097619205661143,0.470885746654254,0.24215126184500316,within_expected
20251,3110024,혜회동주민센터,골목상권,52849.80148667273,93,3.1691082684157648,1915198201.0,4.543294782270004,10.875228156494133,21.373086953962197,21.175156427059406,0.19793052690279112,0.12116871211557464,within_expected
20251,3110025,충신시장옆,골목상권,39183.73224235902,71,2.8214625465000474,314383247.0,4.276666119016055,10.57604246629682,19.566123334657018,20.862396591466155,-1.2962732568091369,-0.5411105574782787,within_expected
20251,3110026,종로5가역 4번,골목상권,16485.20626678917,31,2.4611266279997657,461479.0,3.4657359027997265,9.71027932642836,13.042193995041226,14.47389039193332,-1.4316963968920948,-0.6011344573491807,within_expected
20251,3110027,혜화역 1번,골목상권,117673.26367582813,81,3.215545984056065,286482230.0,4.406719247264253,11.675675608980407,19.47318707125328,16.378199575788926,3.0949874954643555,1.4052377219961172,above_expected
20251,3110028,이화달팽이길,골목상권,159123.8012751632,166,3.4985775397991854,4183862248.0,5.117993812416755,11.977444086998995,22.154500639887893,21.81445726732695,0.34004337256094175,0.18415770508183085,within_expected
20251,3110029,동대문역 1번,골목상권,153229.9747032364,138,3.271909761339336,2438226401.0,4.9344739331306915,11.93970170059902,21.614536727516718,21.39396013007406,0.22057659744265834,0.1312061803778058,within_expected
20251,3110030,동대문역 3번,골목상권,9160.97757270536,37,2.5916848497742278,576451391.0,3.6375861597263857,9.122817326583547,20.17240157842044,20.143651719525426,0.028749858895015024,0.04618238798832185,within_expected
20251,3110031,창신역 1번,골목상권,32877.52954008258,48,2.8843515369087482,99950969.0,3.8918202981106265,10.400575126153104,18.420190323716017,20.440721800505873,-2.0205314767898557,-0.8621251407331758,within_expected
20251,3110032,수족관거리,골목상권,9322.805511160674,22,2.1767324865575537,102696135.0,3.1354942159291497,9.14032614098922,18.447285050042975,17.91760924333184,0.5296758067111362,0.26820891104806344,within_expected
20251,3110033,창신역 4번,골목상권,77869.13372444306,82,3.069378610981592,606464269.0,4.418840607796598,11.262797765847624,20.223156372824057,20.133821577180775,0.08933479564328195,0.07303558438323052,within_expected
20251,3110034,창신1동주민센터,골목상권,29603.568842648434,71,2.43869638603529,207337264.0,4.276666119016055,10.295683981193163,19.149857324878056,20.59728297087758,-1.4474256459995232,-0.6081061674490232,within_expected
20251,3110035,동묘앞역 2번,골목상권,95778.54010990821,124,3.2870933916163434,1406322715.0,4.8283137373023015,11.469804372359787,21.064244131735688,21.67263510925411,-0.6083909775184217,-0.23621896339900647,within_expected
20251,3110036,동묘앞역 3번,골목상권,18430.769711091667,45,2.7781722446119876,224271461.0,3.828641396489095,9.821831069444675,19.228367760009302,17.22193376535186,2.006433994657442,0.922755730391668,within_expected
