quarter,admin_code,dong_name,sales_amount,sales_count,store_count,similar_store_count,floating_population,sggnm,minimum_period_ratio,mean_period_ratio,log_sales,log_flow,log_stores,quarter_text,quarter_index,predicted_log_sales,predicted_sales,gap_log,gap_ratio,gap_z
20251,11110515,청운효자동,23027279079,1020514,907,935,3322244,종로구,0.6167664670658682,0.6646706586826348,23.859945397034036,15.016151317188482,6.811244378601294,20251,0,23.698112613963897,19586621898.03917,0.16183278307013893,1.1756636340289632,0.7019908330376872
20251,11110530,사직동,94427981856,3765281,2649,2856,3978820,종로구,0.6916167664670658,0.7285429141716567,25.271103284151433,15.196496102219726,7.882314918980268,20251,0,25.57627867768655,128125831641.5305,-0.3051753935351158,0.7369940990524838,-0.574466675307595
20251,11110540,삼청동,31073600148,1286179,705,750,948998,종로구,0.7305389221556886,0.7664670658682634,24.15962442583053,13.76316302385073,6.559615237493242,20251,0,24.356157421840944,37822024242.51081,-0.19653299601041496,0.8215742221717,-0.2775181185326323
20251,11110580,교남동,9365685668,382884,306,381,4219937,종로구,0.6526946107784432,0.6936127744510978,22.960318386286158,15.255330993961138,5.726847747587197,20251,0,22.643121836738064,6819976319.566555,0.3171965495480933,1.3732724615377019,1.1266413127940977
20251,11110600,가회동,23147087261,1099428,615,658,1222404,종로구,0.6976047904191617,0.7275449101796406,23.865134789346644,14.016330787700165,6.423246963533519,20251,0,24.058513244481734,28085330885.806957,-0.19337845513508967,0.824170003733069,-0.2688959196346146
20251,11110615,종로1·2·3·4가동,555746757776,11928566,9922,10445,13650465,종로구,0.94311377245509,0.9610778443113772,27.043578555814186,16.429284218206654,9.202610573914242,20251,0,26.635083610109447,369376989089.71814,0.40849494570473865,1.5045516482918064,1.3761841026466572
20251,11110630,종로5·6가동,100517703199,2853730,1884,1982,4952892,종로구,0.9491017964071856,0.9620758483033932,25.333599700176514,15.415482408268177,7.541683099882111,20251,0,24.999679167813525,71981801552.54893,0.33392053236298835,1.3964321680059504,1.172352404168745
20251,11110640,이화동,34584606296,2455313,673,809,4574168,종로구,0.8473053892215568,0.8682634730538922,24.26667451529964,15.335935600849073,6.513230110912307,20251,0,24.236821913959744,33567424138.167336,0.029852601339896978,1.0303026575302838,0.34125390730128546
20251,11110650,혜화동,50362611740,2427469,1343,1543,8475034,종로구,0.7604790419161677,0.7904191616766467,24.642514906195593,15.952635341015771,7.203405521083095,20251,0,24.59749619256197,48145629013.84182,0.045018713633623975,1.046047435074964,0.3827069243564855
20251,11110670,창신1동,65279138937,2814664,1563,1611,2729728,종로구,0.9760479041916168,0.9830339321357284,24.90193835722728,14.819712894834542,7.355001921105257,20251,0,25.1333990176116,82280420934.71857,-0.23146066038431812,0.7933739059112567,-0.3729847113514507
20251,11110680,창신2동,11631452309,493202,357,377,4956177,종로구,0.6586826347305389,0.6826347305389221,23.17697867186289,15.416145437147543,5.8805329864007,20251,0,23.02424998274396,9984003335.3586,0.15272868911893056,1.1650088564981662,0.6771069237982916
20251,11110690,창신3동,429393515,28297,165,180,947256,종로구,0.9101796407185628,0.9321357285429142,19.877884343155216,13.761325718666159,5.111987788356544,20251,0,22.275098657543758,4720113379.481197,-2.397214314388542,0.09097101710874496,-6.292565248410544
20251,11110700,숭인1동,3759851909,191481,259,286,2278647,종로구,0.9491017964071856,0.9640718562874252,22.047645407934283,14.639092842590852,5.560681631015528,20251,0,22.11249408418648,4011752775.7045846,-0.06484867625219692,0.9372092746516906,0.0824101377745338
20251,11110710,숭인2동,24338822104,1309724,833,908,5496846,종로구,0.9850299401197604,0.9870259481037924,23.91533852994942,15.519685213091789,6.726233402358747,20251,0,23.573395587773163,17290025089.082752,0.34194294217625654,1.4076799760902599,1.194279783075913
20251,11140520,소공동,165513963713,5040452,2752,3004,2518864,중구,0.8712574850299402,0.8862275449101796,25.832321401098596,14.739318961203093,7.920446505142607,20251,0,25.905440679505126,178069663650.99545,-0.07311927840652999,0.9294899553322918,0.059804383213284185
20251,11140540,회현동,218793339662,6481735,4781,5014,4372857,중구,0.7754491017964071,0.8003992015968064,26.111393466733848,15.290927357880637,8.47261414801827,20251,0,26.13286688807175,223542387903.56027,-0.021473421337901755,0.9787554911348219,0.20096624146892828
20251,11140550,명동,223284548127,9566776,4242,4745,5596335,중구,0.9131736526946108,0.9191616766467066,26.131712795583645,15.537622655852784,8.353025845202325,20251,0,26.046760266903053,205099336476.6141,0.08495252868059211,1.088665385089919,0.49185665793098055
20251,11140570,필동,35847599769,1871166,1144,1274,2431879,중구,0.8562874251497006,0.8872255489021956,24.30254244972834,14.70417517874557,7.0431599159883405,20251,0,24.173312017620145,31501847050.677864,0.1292304321081943,1.137952314711293,0.6128799399959614
20251,11140580,장충동,18557069468,548935,495,533,2014597,중구,0.8233532934131736,0.8602794411177644,23.644116656848514,14.515930229737322,6.206575926724928,20251,0,23.682353126246507,19280366324.7493,-0.038236469397993744,0.962485315653944,0.1551483743930299
20251,11140590,광희동,162057685236,4537054,5011,5248,6312868,중구,0.9730538922155688,0.9810379241516964,25.811218190506626,15.658100806302844,8.51959031601596,20251,0,26.274945354666166,257669953946.54977,-0.46372716415953974,0.6289351271030099,-1.0078308179788127
20251,11140605,을지로동,204928295784,6531854,2856,2985,4679139,중구,0.9461077844311376,0.9570858283433132,26.04592597824016,15.358624890324005,7.957527402230773,20251,0,25.836606868781956,166224790480.33652,0.2093191094582032,1.2328383461445356,0.831783588064789
20251,11140615,신당동,66808036833,1976197,10604,10726,5270807,중구,0.9670658682634732,0.9740518962075848,24.925089222138343,15.477694229448243,9.269080866998783,20251,0,25.914230222962875,179641713377.01074,-0.9891410008245316,0.37189601221844953,-2.4439265233574843
20251,11140625,다산동,41920111941,1221552,813,888,4170031,중구,0.934131736526946,0.9451097804391216,24.45903154732777,15.243434267606451,6.70196036600254,20251,0,24.159515927186934,31070228887.424156,0.2995156201408342,1.349205121497106,1.0783146319627779
20251,11140635,약수동,28629659459,1145169,641,699,1911171,중구,0.9520958083832336,0.9580838323353292,24.077709061469452,14.463227224405044,6.464588303689961,20251,0,24.17855735533665,31667518999.96769,-0.10084829386719818,0.904070175469989,-0.015986388248326384
20251,11140645,청구동,8425309306,240725,476,506,3094257,중구,0.9850299401197604,0.9890219560878242,22.854506025507963,14.945058693839663,6.1675164908883415,20251,0,22.96714477841855,9429838227.104086,-0.11263875291058767,0.8934733664659508,-0.04821284749829641
20251,11140650,신당5동,26259029397,1075468,715,772,3291975,중구,0.8982035928143712,0.9131736526946108,23.99127574390416,15.00699855035155,6.573680166960646,20251,0,24.289048205704255,35367112706.018776,-0.2977724618000934,0.7424702608684038,-0.5542324946865472
20251,11140665,동화동,21599799019,842312,522,560,3540342,중구,0.937125748502994,0.9451097804391216,23.795949846963612,15.079734173071534,6.259581464064923,20251,0,23.99804939059002,26437502559.13125,-0.20209954362640659,0.8170135953912048,-0.2927329731239257
