area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3001491,이태원 관광특구,관광특구,11170650,이태원1동,용산구,268010.77581571025,372565.2657110193,0.7193659755270722
3001491,이태원 관광특구,관광특구,11170685,한남동,용산구,99861.40607978046,372565.2657110193,0.2680373488097468
3001491,이태원 관광특구,관광특구,11170660,이태원2동,용산구,4693.083815528132,372565.2657110193,0.012596675663179853
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,11140550,명동,중구,613187.8390963322,983617.8774112152,0.6234004618848347
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,11140520,소공동,중구,224094.18137166067,983617.8774112152,0.22782646240779433
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,11140540,회현동,중구,128969.91821372429,983617.8774112152,0.13111790785376973
3001492,명동 남대문 북창동 다동 무교동 관광특구,관광특구,11110615,종로1·2·3·4가동,종로구,17365.938729495454,983617.8774112152,0.01765516785359868
3001493,동대문패션타운 관광특구,관광특구,11140615,신당동,중구,313779.4397095616,606058.325601367,0.5177380236435346
3001493,동대문패션타운 관광특구,관광특구,11140590,광희동,중구,287185.6581922404,606058.325601367,0.4738581190305038
3001493,동대문패션타운 관광특구,관광특구,11140670,황학동,중구,3828.5758046337232,606058.325601367,0.006317173847640461
3001493,동대문패션타운 관광특구,관광특구,11140605,을지로동,중구,1264.6518949311885,606058.325601367,0.002086683478320879
3001494,종로·청계 관광특구,관광특구,11110615,종로1·2·3·4가동,종로구,377386.1206445049,653126.9528732524,0.5778143421953396
3001494,종로·청계 관광특구,관광특구,11110630,종로5·6가동,종로구,125543.73986453257,653126.9528732524,0.19221950543035685
3001494,종로·청계 관광특구,관광특구,11110670,창신1동,종로구,125268.08002323887,653126.9528732524,0.19179744377744082
3001494,종로·청계 관광특구,관광특구,11140605,을지로동,중구,19488.225341247413,653126.9528732524,0.02983834192650345
3001494,종로·청계 관광특구,관광특구,11140550,명동,중구,3242.6017354820256,653126.9528732524,0.004964734223901021
3001494,종로·청계 관광특구,관광특구,11140615,신당동,중구,1234.6225103337565,653126.9528732524,0.0018903254641419623
3001494,종로·청계 관광특구,관광특구,11140590,광희동,중구,501.7125296041675,653126.9528732524,0.0007681699972677918
3001494,종로·청계 관광특구,관광특구,11110680,창신2동,종로구,461.85022430890723,653126.9528732524,0.0007071369850488089
3001495,잠실 관광특구,관광특구,11710566,오륜동,송파구,1511834.974197287,2462734.2001427854,0.6138847522033166
3001495,잠실 관광특구,관광특구,11710680,잠실3동,송파구,377367.33711420133,2462734.2001427854,0.15323104584015693
3001495,잠실 관광특구,관광특구,11710710,잠실6동,송파구,282839.9840614986,2462734.2001427854,0.11484795397128118
3001495,잠실 관광특구,관광특구,11710562,방이2동,송파구,210907.50860317837,2462734.2001427854,0.08563957433609777
3001495,잠실 관광특구,관광특구,11710600,석촌동,송파구,48231.85865306208,2462734.2001427854,0.01958467895165693
3001495,잠실 관광특구,관광특구,11710580,송파1동,송파구,31171.377150793847,2462734.2001427854,0.01265722348314592
3001495,잠실 관광특구,관광특구,11710610,삼전동,송파구,206.56009569349123,2462734.2001427854,8.387429535900188e-05
3001495,잠실 관광특구,관광특구,11710561,방이1동,송파구,174.6002670707652,2462734.2001427854,7.089691898567135e-05
3001496,강남 마이스 관광특구,관광특구,11680580,삼성1동,강남구,237891.66635731564,237891.6663573156,1.0000000000000002
3110001,이북5도청사,골목상권,11110560,평창동,종로구,108528.51761992378,108528.51761992378,1.0
3110002,독립문역 1번,골목상권,11110570,무악동,종로구,24051.631798968407,31531.04300374453,0.7627921409422489
3110002,독립문역 1번,골목상권,11410520,천연동,서대문구,7479.411204775983,31531.04300374453,0.23720785905774672
3110003,세검정초등학교,골목상권,11110550,부암동,종로구,146330.676333468,191570.2203839954,0.7638487654300006
3110003,세검정초등학교,골목상권,11110560,평창동,종로구,45239.544050527096,191570.2203839954,0.23615123456999795
3110004,대신고등학교,골목상권,11110580,교남동,종로구,18041.82779475204,18780.704446120588,0.9606576710959757
3110004,대신고등학교,골목상권,11410520,천연동,서대문구,596.5456408590392,18780.704446120588,0.03176375213030222
3110004,대신고등학교,골목상권,11110570,무악동,종로구,142.33101050922343,18780.704446120588,0.0075785767737069016
3110005,세검정,골목상권,11110550,부암동,종로구,242412.05820687805,244923.06481762024,0.9897477740097202
3110005,세검정,골목상권,11110560,평창동,종로구,2511.0066107418174,244923.06481762024,0.010252225990278278
3110006,부암동주민센터,골목상권,11110550,부암동,종로구,91486.12749049539,91486.12749049545,0.9999999999999993
3110007,사직공원(한국사회과학도서관),골목상권,11110530,사직동,종로구,41527.12359153662,80251.83894487291,0.5174600873640127
3110007,사직공원(한국사회과학도서관),골목상권,11110580,교남동,종로구,38724.7153533361,80251.83894487291,0.4825399126359848
3110008,배화여자대학교(박노수미술관),골목상권,11110515,청운효자동,종로구,111253.06201591229,149264.36523757543,0.7453424120273935
