threshold,group,purpose,purpose_rank,area_code,area_name,path_v0_score
50pct,core4,여가문화,6.0,3120069,상봉역,94.54731861198736
50pct,core4,여가문화,7.0,3120056,구의역,94.13328075709778
50pct,core4,여가문화,8.0,3120053,건대입구역(건대),93.41955835962145
50pct,core4,여가문화,9.0,3110431,상계역,93.05165615141955
50pct,core4,여가문화,10.0,3130139,강북종합전통시장(강북종합골목시장),92.97594637223973
80pct,core4,여가문화,1.0,3120055,군자역,95.47588832487308
80pct,core4,여가문화,2.0,3120069,상봉역,94.86421319796953
80pct,core4,여가문화,3.0,3120056,구의역,94.47842639593908
80pct,core4,여가문화,4.0,3120053,건대입구역(건대),93.95558375634518
80pct,core4,여가문화,5.0,3120059,구삼강변맛길,93.76903553299492
80pct,core4,여가문화,6.0,3110313,안암역 3번,93.44543147208121
80pct,core4,여가문화,7.0,3120057,아차산역,93.18147208121827
80pct,core4,여가문화,8.0,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",92.88705583756344
80pct,core4,여가문화,9.0,3120081,노원역,92.82994923857868
80pct,core4,여가문화,10.0,3120067,장안동사거리,92.65101522842642
25pct,core4,카페,1.0,3120007,북촌(안국역),96.52417302798982
25pct,core4,카페,2.0,3120002,서촌(경복궁역),96.05629770992367
25pct,core4,카페,3.0,3110008,배화여자대학교(박노수미술관),94.9917302798982
25pct,core4,카페,4.0,3120005,삼청동,94.60846055979644
25pct,core4,카페,5.0,3120003,광화문역,94.07188295165395
25pct,core4,카페,6.0,3120102,서교동(홍대),93.07506361323155
25pct,core4,카페,7.0,3110566,경의선책거리,92.90489821882952
25pct,core4,카페,8.0,3120026,을지로입구역,92.31743002544528
25pct,core4,카페,9.0,3120021,시청역_8번,91.7970737913486
25pct,core4,카페,10.0,3120012,대학로(혜화역),91.31170483460559
50pct,core4,카페,1.0,3120007,북촌(안국역),96.52839116719241
50pct,core4,카페,2.0,3120002,서촌(경복궁역),96.17389589905362
50pct,core4,카페,3.0,3110008,배화여자대학교(박노수미술관),95.1033123028391
50pct,core4,카페,4.0,3120005,삼청동,94.73541009463722
50pct,core4,카페,5.0,3120003,광화문역,94.09621451104101
50pct,core4,카페,6.0,3120026,을지로입구역,92.44242902208202
50pct,core4,카페,7.0,3120021,시청역_8번,92.21214511041009
50pct,core4,카페,8.0,3120051,뚝섬역,91.37460567823342
50pct,core4,카페,9.0,3120012,대학로(혜화역),91.32018927444794
50pct,core4,카페,10.0,3110069,숙대입구,90.85015772870662
80pct,core4,카페,1.0,3120007,북촌(안국역),96.74238578680203
80pct,core4,카페,2.0,3120003,광화문역,94.61675126903552
80pct,core4,카페,3.0,3120026,을지로입구역,93.04314720812182
80pct,core4,카페,4.0,3120021,시청역_8번,92.96827411167513
80pct,core4,카페,5.0,3120012,대학로(혜화역),91.6979695431472
80pct,core4,카페,6.0,3120051,뚝섬역,91.35977157360405
80pct,core4,카페,7.0,3110085,경리단길남측,90.65799492385786
80pct,core4,카페,8.0,3120030,중부경찰서(영화인의거리),90.53426395939087
80pct,core4,카페,9.0,3120006,종각역,90.15482233502537
80pct,core4,카페,10.0,3120013,이화사거리,89.97461928934008
25pct,study_separate,공부,1.0,3120059,구삼강변맛길,94.34828244274809
25pct,study_separate,공부,2.0,3110241,먹골역 5번,93.99968193384224
25pct,study_separate,공부,3.0,3110220,외대앞역 1번,92.37436386768448
25pct,study_separate,공부,4.0,3120064,경희대학교(경희대),91.69974554707379
25pct,study_separate,공부,5.0,3120067,장안동사거리,91.54357506361322
25pct,study_separate,공부,6.0,3110168,대원고등학교,91.2458651399491
25pct,study_separate,공부,7.0,3130099,전농로터리시장,91.04834605597965
25pct,study_separate,공부,8.0,3110165,국립정신건강센터,90.86513994910942
25pct,study_separate,공부,9.0,3110272,신내1동주민센터,90.66634860050891
25pct,study_separate,공부,10.0,3120070,한성대입구역,90.33587786259542
50pct,study_separate,공부,1.0,3110241,먹골역 5번,95.21569400630915
50pct,study_separate,공부,2.0,3120059,구삼강변맛길,94.09700315457414
50pct,study_separate,공부,3.0,3110220,외대앞역 1번,93.39944794952682
50pct,study_separate,공부,4.0,3130099,전농로터리시장,92.68888012618297
50pct,study_separate,공부,5.0,3120067,장안동사거리,92.10331230283911
50pct,study_separate,공부,6.0,3120064,경희대학교(경희대),92.08044164037855
50pct,study_separate,공부,7.0,3110168,대원고등학교,91.90102523659307
50pct,study_separate,공부,8.0,3110165,국립정신건강센터,91.6774447949527
50pct,study_separate,공부,9.0,3110317,종암중학교,90.48304416403786
50pct,study_separate,공부,10.0,3120054,어린이대공원역,90.45938485804416
80pct,study_separate,공부,1.0,3110241,먹골역 5번,95.51649746192895
80pct,study_separate,공부,2.0,3110220,외대앞역 1번,93.15355329949239
80pct,study_separate,공부,3.0,3130099,전농로터리시장,93.1008883248731
80pct,study_separate,공부,4.0,3120059,구삼강변맛길,91.19796954314721
80pct,study_separate,공부,5.0,3120067,장안동사거리,91.08502538071065
80pct,study_separate,공부,6.0,3120064,경희대학교(경희대),90.44289340101521
80pct,study_separate,공부,7.0,3110247,먹골역 1번,90.28616751269035
80pct,study_separate,공부,8.0,3110168,대원고등학교,90.11421319796955
80pct,study_separate,공부,9.0,3110165,국립정신건강센터,89.8743654822335
80pct,study_separate,공부,10.0,3110250,화랑대역 7번,89.34327411167513
