area_code,study_room_store_count,minimum_period_ratio,cafe_store_count_2025,area_km2,study_cafe_inside_count,starbucks_inside_count,poi_public_library_inside_count,poi_reading_room_inside_count,poi_university_learning_facility_inside_count,poi_youth_space_inside_count,study_public_inside_count,study_public_nearby_only_count,study_room_per_km2,cafe_store_per_km2_2025,study_cafe_per_km2,starbucks_per_km2,study_public_inside_per_km2,study_public_nearby_only_per_km2,study_room_percentile,cafe_supply_percentile,study_cafe_percentile,starbucks_percentile,study_public_inside_percentile,study_public_nearby_only_percentile,study_public_percentile,access_percentile,study_stay_current_score,study_stay_current_rank,poi_snapshot_date,public_facility_snapshot_date,historical_2025_use_allowed,poi_source
3120084,3.0,0.9550898203592816,9.0,0.08097793502428899,3.0,2.0,1,0,0,0,1,4,37.0471289382739,111.1413868148217,37.0471289382739,24.698085958849266,12.349042979424633,49.39617191769853,88.67684478371501,63.61323155216285,96.0559796437659,98.34605597964376,68.46846846846847,75.47528517110266,69.86983180899531,68.63867684478372,82.33274498775327,1,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130156,1.0,0.874251497005988,1.0,0.015752202457044832,1.0,0.0,0,0,0,1,1,1,63.48318609584475,63.48318609584475,63.48318609584475,0.0,63.48318609584475,63.48318609584475,95.54707379134861,36.51399491094148,98.9821882951654,40.903307888040715,97.2972972972973,83.46007604562737,94.52985304696332,56.80661577608143,78.18077976969802,2,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110144,1.0,0.9221556886227544,6.0,0.042796720151551476,1.0,0.0,1,0,0,0,1,2,23.366276585187048,140.19765951112228,23.366276585187048,0.0,23.366276585187048,46.732553170374096,82.1882951653944,72.90076335877863,92.49363867684478,40.903307888040715,85.58558558558559,73.95437262357414,83.25934299318331,62.913486005089055,78.04499836962904,3,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120032,6.0,0.9520958083832336,64.0,0.23633850500172948,3.0,1.0,1,0,0,1,2,2,25.38731469066411,270.79802336708383,12.693657345332054,4.231219115110685,8.46243823022137,8.46243823022137,83.33333333333334,92.49363867684478,84.7328244274809,84.35114503816794,53.153153153153156,16.920152091254753,45.90655294077348,67.8117048346056,76.19148870520304,4,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120081,11.0,0.8023952095808383,57.0,0.26748877092273676,4.0,4.0,2,0,0,0,2,3,41.123221591897455,213.09305733983226,14.953898760689983,14.953898760689983,7.476949380344991,11.215424070517487,89.94910941475827,86.76844783715013,86.89567430025446,95.54707379134861,45.04504504504504,24.14448669201521,40.864933374439076,50.06361323155216,75.31039125504049,5,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130098,1.0,0.9880239520958084,10.0,0.03218701022704083,2.0,1.0,0,0,0,0,0,0,31.06843391002137,310.68433910021366,62.13686782004274,31.06843391002137,0.0,0.0,86.76844783715013,94.65648854961832,98.72773536895674,98.72773536895674,0.0,0.0,0.0,82.44274809160305,74.94910941475827,6,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120094,20.0,0.344311377245509,105.0,0.34357443773413743,5.0,6.0,0,0,0,3,3,3,58.21154836750769,305.6106289294154,14.552887091876922,17.463464510252308,8.731732255126154,8.731732255126154,94.0203562340967,94.14758269720102,86.51399491094148,96.69211195928753,55.85585585585585,17.680608365019012,48.22080635768849,6.806615776081425,74.17342335805169,7,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120059,11.0,0.9041916167664672,11.0,0.10887741564291709,2.0,0.0,2,0,0,0,2,1,101.03105345626923,101.03105345626923,18.369282446594404,0.0,18.369282446594404,9.184641223297202,98.21882951653944,59.16030534351145,89.44020356234097,40.903307888040715,80.18018018018019,19.581749049429657,68.06049395403008,59.478371501272264,74.08919802744724,8,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120012,7.0,0.8473053892215568,84.0,0.25669463814802623,14.0,4.0,0,0,0,1,1,2,27.26975542030356,327.23706504364276,54.53951084060712,15.582717383030607,3.8956793457576517,7.7913586915153035,84.60559796437659,95.41984732824427,97.96437659033079,96.0559796437659,11.711711711711711,14.44866920152091,12.259103209673551,53.88040712468194,73.83858908977186,9,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120068,1.0,0.9910179640718564,10.0,0.03568451932400335,1.0,1.0,0,0,0,0,0,0,28.023356316511894,280.23356316511894,28.023356316511894,28.023356316511894,0.0,0.0,85.24173027989822,93.38422391857506,93.51145038167938,98.60050890585241,0.0,0.0,0.0,85.36895674300254,73.2442748091603,10,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120070,6.0,0.7694610778443114,15.0,0.08000436048684208,4.0,1.0,0,0,0,0,0,3,74.99591226639191,187.48978066597977,49.99727484426128,12.49931871106532,0.0,37.497956133195956,96.94656488549617,83.33333333333334,97.58269720101781,94.14758269720102,0.0,66.34980988593155,13.26996197718631,48.409669211195926,73.22651147940671,11,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130179,8.0,0.3892215568862275,35.0,0.05559635094114561,6.0,1.0,0,0,0,0,0,2,143.89433595145144,629.5377197876,107.92075196358859,17.98679199393143,0.0,35.97358398786286,99.10941475826972,99.36386768447836,99.74554707379136,96.81933842239185,0.0,64.82889733840305,12.965779467680612,10.623409669211197,73.03208719124603,12,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120006,7.0,0.94311377245509,95.0,0.27012371190024337,9.0,3.0,0,0,0,1,1,1,25.91405230868847,351.69070990362917,33.31806725402803,11.106022418009344,3.702007472669781,3.702007472669781,83.7150127226463,96.0559796437659,94.78371501272265,92.36641221374046,10.81081081081081,2.4714828897338403,9.142945226595417,65.45801526717557,73.0117951521893,13,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130155,1.0,0.874251497005988,3.0,0.008509890798930893,1.0,0.0,0,0,0,0,0,2,117.51032106377102,352.53096319131305,117.51032106377102,0.0,0.0,235.02064212754203,98.34605597964376,96.18320610687023,99.87277353689568,40.903307888040715,0.0,97.71863117870723,19.543726235741445,56.80661577608143,72.82095898760632,14,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130070,3.0,0.9640718562874252,19.0,0.05612368154856816,3.0,0.0,0,0,0,0,0,4,53.45337150421731,338.5380195267096,53.45337150421731,0.0,0.0,71.27116200562308,93.38422391857506,95.80152671755725,97.83715012722645,40.903307888040715,0.0,85.74144486692015,17.14828897338403,70.0381679389313,72.2528130109618,15,2026-09-18,2026-09-21,False,Kakao Local keyword search
3130069,1.0,0.9670658682634732,10.0,0.023225526430039407,1.0,0.0,0,0,0,0,0,2,43.056074660448644,430.56074660448644,43.056074660448644,0.0,0.0,86.11214932089729,90.71246819338423,97.96437659033079,96.69211195928753,40.903307888040715,0.0,88.02281368821293,17.60456273764259,70.86513994910942,72.00691763658705,16,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120054,7.0,0.9221556886227544,22.0,0.1450910444302478,5.0,2.0,0,0,0,0,0,3,48.24556903210683,151.62893124376433,34.46112073721916,13.784448294887666,0.0,20.676672442331498,91.73027989821882,75.82697201017811,95.29262086513995,94.91094147582697,0.0,42.585551330798474,8.517110266159696,62.913486005089055,71.20723884712507,17,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110179,0.0,0.8323353293413174,9.0,0.04205289167675281,1.0,0.0,1,0,0,0,1,2,0.0,214.01619820059307,23.779577577843675,0.0,23.779577577843675,47.55915515568735,27.417302798982192,87.02290076335878,92.6208651399491,40.903307888040715,86.48648648648648,74.33460076045627,84.05610934128045,52.29007633587786,71.08285036698382,18,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120072,10.0,0.7365269461077845,76.0,0.19713742656137606,4.0,3.0,0,0,0,0,0,1,50.72603500222032,385.51786601687445,20.290414000888127,15.217810500666095,0.0,5.072603500222032,92.49363867684478,97.07379134860051,90.71246819338423,95.80152671755725,0.0,6.273764258555133,1.2547528517110267,45.16539440203562,69.99649764413356,19,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110313,4.0,0.9131736526946108,14.0,0.08222677252055607,3.0,1.0,0,0,0,0,0,0,48.64595651008958,170.26084778531353,36.48446738256719,12.161489127522396,0.0,0.0,91.85750636132316,80.1526717557252,95.80152671755725,93.25699745547074,0.0,0.0,0.0,61.00508905852418,69.96819338422392,20,2026-09-18,2026-09-21,False,Kakao Local keyword search
3120071,3.0,0.8922155688622755,12.0,0.05000165987395935,3.0,0.0,0,0,0,0,0,2,59.99800821737094,239.99203286948375,59.99800821737094,0.0,0.0,39.99867214491396,94.78371501272265,90.33078880407125,98.34605597964376,40.903307888040715,0.0,69.58174904942965,13.91634980988593,58.14249363867684,69.95884248106117,21,2026-09-18,2026-09-21,False,Kakao Local keyword search
3110024,0.0,0.8473053892215568,13.0,0.0528100522585577,1.0,0.0,1,0,0,0,1,2,0.0,246.16525536373413,18.935788874133394,0.0,18.935788874133394,37.87157774826679,27.417302798982192,90.83969465648855,89.82188295165395,40.903307888040715,81.08108108108108,67.11026615969583,78.28691809680404,53.88040712468194,69.82086962444987,22,2026-09-18,2026-09-21,False,Kakao Local keyword search
