quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,lagged_sales_signal,path_v0_score,purpose_rank,source_year,source_dataset,mapping_method,purpose_industry_scope,historical_2025_use_allowed
20254,3001491,공부,이태원 관광특구,관광특구,이태원1동,용산구,0.9011976047904192,0.8622754491017964,0.9011976047904192,0.8622754491017964,0.8882235528942116,core_80pct_all_periods,26.0,14423101.0,8413721.0,0.0180430256766134,0.0001515250565687,0.5833503488604843,83.58778625954199,14.75826972010178,53.18066157760815,49.23664122137404,81.93384223918575,59.49745547073792,59.38295165394402,74.58651399491094,64.02417302798982,282.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3001492,공부,명동 남대문 북창동 다동 무교동 관광특구,관광특구,명동,중구,0.937125748502994,0.9610778443113772,0.9760479041916168,0.937125748502994,0.9580838323353292,core_80pct_all_periods,127.0,4452183418.0,3273453230.0,0.018192236069331,0.0088145370531323,0.7352467144020974,98.6005089058524,15.012722646310433,96.5648854961832,60.17811704834606,92.23918575063614,69.34478371501272,86.38676844783716,86.22773536895674,74.40966921119593,167.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3001493,공부,동대문패션타운 관광특구,관광특구,신당동,중구,1.0,0.997005988023952,1.0,0.997005988023952,0.999001996007984,core_80pct_all_periods,46.0,0.0,0.0,0.0037637047946326,0.0,0.0,93.32061068702288,8.9058524173028,24.61832061068702,24.61832061068702,25.19083969465649,63.775445292620866,24.76145038167939,58.87404580152672,62.30502544529262,296.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3001494,공부,종로·청계 관광특구,관광특구,종로1·2·3·4가동,종로구,0.994011976047904,0.994011976047904,0.997005988023952,0.994011976047904,0.9950099800399202,core_80pct_all_periods,177.0,32922647495.0,25242252426.0,0.0477217578862227,0.1302675433662336,0.7667139293652969,99.49109414758269,32.44274809160305,100.0,85.6234096692112,93.76590330788804,76.02417302798982,94.8473282442748,93.76590330788804,81.34669211195927,88.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3001495,공부,잠실 관광특구,관광특구,오륜동,송파구,0.6796407185628742,0.6646706586826348,0.6976047904191617,0.6646706586826348,0.6806387225548902,base_50pct_all_periods,104.0,135267527.0,86434334.0,0.0445014976465554,0.0003749073651043,0.6389880551301865,97.83715012722644,30.15267175572519,69.3384223918575,50.12722646310432,86.64122137404581,74.14758269720102,68.86132315521628,67.55725190839695,72.1704834605598,192.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3001496,공부,강남 마이스 관광특구,관광특구,삼성1동,강남구,0.3413173652694611,0.3473053892215569,0.344311377245509,0.3413173652694611,0.344311377245509,exploration_25pct_all_periods,14.0,1267844733.0,768136060.0,0.0154185022026431,0.0116929739596016,0.6058597239919282,66.41221374045801,13.231552162849871,90.33078880407125,62.46819338422392,83.58778625954199,47.79898218829517,81.6793893129771,81.77480916030535,57.99173027989822,328.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110002,공부,독립문역 1번,골목상권,무악동,종로구,0.6706586826347305,0.5748502994011976,0.6497005988023952,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,15.0,26932699.0,24156370.0,0.3658536585365853,0.0045250452335603,0.8969160498916205,68.76590330788804,97.45547073791349,55.97964376590331,55.97964376590331,97.32824427480917,78.80725190839695,66.31679389312977,62.30916030534351,73.85782442748092,175.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110004,공부,대신고등학교,골목상권,교남동,종로구,0.6706586826347305,0.5748502994011976,0.6497005988023952,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,1.0,0.0,0.0,0.0434782608695652,0.0,0.0,12.02290076335878,29.198473282442748,24.61832061068702,24.61832061068702,25.19083969465649,18.034351145038165,24.76145038167939,24.236641221374047,19.895038167938928,674.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110007,공부,사직공원(한국사회과학도서관),골목상권,사직동,종로구,0.6676646706586826,0.5508982035928144,0.625748502994012,0.5508982035928144,0.6147704590818363,base_50pct_all_periods,1.0,0.0,0.0,0.0238095238095238,0.0,0.0,12.02290076335878,18.12977099236641,24.61832061068702,24.61832061068702,25.19083969465649,14.16030534351145,24.76145038167939,24.236641221374047,17.18320610687023,694.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20254,3110008,공부,배화여자대학교(박노수미술관),골목상권,청운효자동,종로구,0.7514970059880239,0.6916167664670658,0.7275449101796407,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,28.0,32776528.0,15141055.0,0.1157024793388429,0.0065284611864992,0.4619481050585955,85.55979643765903,69.8473282442748,57.63358778625955,57.63358778625955,70.35623409669212,80.06043256997455,60.81424936386769,60.146310432569976,74.08619592875317,172.0,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
