quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,lagged_sales_signal,path_v0_score,purpose_rank,source_year,source_dataset,mapping_method,purpose_industry_scope,historical_2025_use_allowed
20251,3001491,공부,이태원 관광특구,관광특구,이태원1동,용산구,0.9011976047904192,0.8622754491017964,0.9011976047904192,0.8622754491017964,0.8882235528942116,core_80pct_all_periods,29.0,199648044.0,143088632.0,0.0200831024930747,0.0024605538756438,0.7167044020726795,86.06870229007633,16.28498727735369,73.53689567430025,52.41730279898219,90.20356234096693,61.64440203562341,72.42366412213741,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3001492,공부,명동 남대문 북창동 다동 무교동 관광특구,관광특구,명동,중구,0.937125748502994,0.9610778443113772,0.9760479041916168,0.937125748502994,0.9580838323353292,core_80pct_all_periods,128.0,5423959954.0,4220924007.0,0.0182544209925841,0.01285194086218,0.7781996996285345,98.6005089058524,14.885496183206106,97.70992366412212,61.704834605597966,94.65648854961832,69.3002544529262,87.94529262086513,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3001493,공부,동대문패션타운 관광특구,관광특구,신당동,중구,1.0,0.997005988023952,1.0,0.997005988023952,0.999001996007984,core_80pct_all_periods,48.0,119956529.0,58268424.0,0.0037097148156735,0.0011246506222212,0.485746165596372,93.89312977099236,8.9058524173028,67.30279898218829,49.61832061068702,69.8473282442748,64.14758269720102,63.5178117048346,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3001494,공부,종로·청계 관광특구,관광특구,종로1·2·3·4가동,종로구,0.994011976047904,0.994011976047904,0.997005988023952,0.994011976047904,0.9950099800399202,core_80pct_all_periods,180.0,27068300868.0,20909821012.0,0.0482703137570394,0.1233110988752715,0.7724836927876577,99.49109414758269,31.806615776081426,99.61832061068702,85.49618320610686,94.14758269720102,75.80152671755725,94.72010178117048,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3001495,공부,잠실 관광특구,관광특구,오륜동,송파구,0.6796407185628742,0.6646706586826348,0.6976047904191617,0.6646706586826348,0.6806387225548902,base_50pct_all_periods,96.0,101770534.0,69977801.0,0.0404210526315789,0.0003022981223492,0.6876037517892949,97.32824427480917,26.59033078880407,66.15776081424937,48.346055979643765,88.67684478371501,72.56997455470739,67.33460559796438,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3001496,공부,강남 마이스 관광특구,관광특구,삼성1동,강남구,0.3413173652694611,0.3473053892215569,0.344311377245509,0.3413173652694611,0.344311377245509,exploration_25pct_all_periods,15.0,1382892450.0,817085133.0,0.016008537886873,0.016953358037921,0.590852262589184,68.25699745547074,13.61323155216285,90.0763358778626,64.24936386768448,80.53435114503816,49.13167938931298,81.23409669211196,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110002,공부,독립문역 1번,골목상권,무악동,종로구,0.6706586826347305,0.5748502994011976,0.6497005988023952,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,15.0,5022361.0,5022361.0,0.3571428571428571,0.0009792853270753,1.0,68.25699745547074,97.20101781170484,49.10941475826972,49.23664122137404,99.36386768447836,78.38740458015268,61.704834605597966,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110004,공부,대신고등학교,골목상권,교남동,종로구,0.6706586826347305,0.5748502994011976,0.6497005988023952,0.5748502994011976,0.6317365269461078,base_50pct_all_periods,1.0,0.0,0.0,0.0476190476190476,0.0,0.0,11.83206106870229,31.106870229007633,23.791348600508904,23.791348600508904,24.10941475826972,18.57824427480916,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110007,공부,사직공원(한국사회과학도서관),골목상권,사직동,종로구,0.6676646706586826,0.5508982035928144,0.625748502994012,0.5508982035928144,0.6147704590818363,base_50pct_all_periods,1.0,0.0,0.0,0.025,0.0,0.0,11.83206106870229,18.70229007633588,23.791348600508904,23.791348600508904,24.10941475826972,14.236641221374043,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110008,공부,배화여자대학교(박노수미술관),골목상권,청운효자동,종로구,0.7514970059880239,0.6916167664670658,0.7275449101796407,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,28.0,8084374.0,5320355.0,0.1176470588235294,0.0019658207188697,0.658103521682693,85.05089058524173,70.29262086513995,50.25445292620865,51.27226463104325,86.89567430025446,79.8854961832061,59.66921119592875,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110012,공부,성곡미술관,골목상권,사직동,종로구,0.7994011976047904,0.7754491017964071,0.7934131736526946,0.7754491017964071,0.7894211576846307,base_50pct_all_periods,11.0,17928839.0,3830494.0,0.125,0.0048100696867444,0.2136498632175792,58.524173027989825,73.02798982188295,52.54452926208651,55.597964376590326,49.74554707379134,63.60050890585242,52.60814249363867,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110013,공부,체부동홍종문가옥,골목상권,사직동,종로구,0.7514970059880239,0.6916167664670658,0.7275449101796407,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,2.0,0.0,0.0,0.0909090909090909,0.0,0.0,18.00254452926209,60.43256997455471,23.791348600508904,23.791348600508904,24.10941475826972,32.853053435114504,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110015,공부,청와대사랑채,골목상권,청운효자동,종로구,0.7514970059880239,0.6916167664670658,0.7275449101796407,0.6916167664670658,0.7235528942115769,base_50pct_all_periods,0.0,0.0,0.0,0.0,0.0,0.0,4.134860050890586,4.134860050890586,23.791348600508904,23.791348600508904,24.10941475826972,4.134860050890586,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110017,공부,정독도서관,골목상권,가회동,종로구,0.6676646706586826,0.5538922155688623,0.6317365269461078,0.5538922155688623,0.6177644710578841,base_50pct_all_periods,0.0,0.0,0.0,0.0,0.0,0.0,4.134860050890586,4.134860050890586,23.791348600508904,23.791348600508904,24.10941475826972,4.134860050890586,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110018,공부,중앙고등학교,골목상권,가회동,종로구,0.8143712574850299,0.7485029940119761,0.7904191616766467,0.7485029940119761,0.7844311377245509,base_50pct_all_periods,11.0,0.0,0.0,0.089430894308943,0.0,0.0,58.524173027989825,59.16030534351145,23.791348600508904,23.791348600508904,24.10941475826972,58.7468193384224,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110019,공부,창덕궁,골목상권,종로1·2·3·4가동,종로구,0.94311377245509,0.9640718562874252,0.9760479041916168,0.94311377245509,0.9610778443113772,core_80pct_all_periods,5.0,0.0,0.0,0.032258064516129,0.0,0.0,33.14249363867685,22.455470737913487,23.791348600508904,23.791348600508904,24.10941475826972,29.40203562340967,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110020,공부,서울국제고등학교,골목상권,혜화동,종로구,0.6916167664670658,0.6227544910179641,0.6706586826347305,0.6227544910179641,0.6616766467065868,base_50pct_all_periods,6.0,0.0,0.0,0.0571428571428571,0.0,0.0,38.040712468193384,38.8676844783715,23.791348600508904,23.791348600508904,24.10941475826972,38.33015267175573,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110021,공부,성균관대학교,골목상권,혜화동,종로구,0.8682634730538922,0.8473053892215568,0.8892215568862275,0.8473053892215568,0.8682634730538922,core_80pct_all_periods,6.0,0.0,0.0,0.0530973451327433,0.0,0.0,38.040712468193384,36.1323155216285,23.791348600508904,23.791348600508904,24.10941475826972,37.37277353689567,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110022,공부,경신고등학교,골목상권,혜화동,종로구,0.8053892215568862,0.7604790419161677,0.8053892215568862,0.7604790419161677,0.7904191616766467,base_50pct_all_periods,15.0,301086561.0,168908652.0,0.2083333333333333,0.5602550300200966,0.560996981861306,68.25699745547074,90.45801526717555,77.60814249363868,96.94656488549616,77.48091603053436,76.02735368956743,82.41094147582697,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
20251,3110023,공부,서울대병원,골목상권,이화동,종로구,0.8682634730538922,0.8473053892215568,0.8892215568862275,0.8473053892215568,0.8682634730538922,core_80pct_all_periods,1.0,0.0,0.0,0.04,0.0,0.0,11.83206106870229,26.33587786259542,23.791348600508904,23.791348600508904,24.10941475826972,16.908396946564885,23.870865139949107,,,,2025,서울시 상권분석서비스(점포-상권),상권코드 직접 결합,독서실·서적·문구·학원 업종,True
