area_code,area_name,primary_district_name,minimum_period_ratio,access_tier,study_stay_current_score,study_stay_current_rank,study_public_inside_count,study_public_nearby_only_count,study_cafe_inside_count,movement_inflow_commute,movement_inflow_hospital,movement_inflow_other,movement_inflow_return_home,movement_inflow_school,movement_inflow_shopping,movement_inflow_tourism,movement_inflow_total,movement_school_share,movement_nonroutine_share,movement_commute_return_share,integration_segment,study_score_q75,movement_school_share_q75,movement_context_usage
3120084,공릉역,노원구,0.9550898203592816,core_80pct_all_periods,82.33274498775327,1,1,4,3.0,30628.484878893072,0.0,131486.70555833832,120715.46401025771,2654.3885584490454,0.0,0.0,285485.0430059381,0.00929782005565116,0.469870830024525,0.5301291699754751,feature_rich_validation_needed,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130156,시영2단지 무지개종합상가(중계 무지개2단지아파트상가),노원구,0.874251497005988,core_80pct_all_periods,78.18077976969802,2,1,1,1.0,33772.785023376986,0.0,163787.72193047157,199161.4195370315,10646.612998639632,0.0,0.0,407368.5394895197,0.026135088909862995,0.4281978553073778,0.571802144692622,study_ready_signal,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110144,어린이대공원역 4번,광진구,0.9221556886227544,core_80pct_all_periods,78.04499836962904,3,1,2,1.0,27390.80828255038,4334.241784283484,158108.40922912376,73931.79832906512,24995.36521833172,0.0,0.0,288760.62284335453,0.08656085089514122,0.6341022977595693,0.35088789327961967,study_ready_signal,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120032,충무로역,중구,0.9520958083832336,core_80pct_all_periods,76.19148870520304,4,2,2,3.0,78914.76999191947,0.0,170990.29609873873,26545.32778527506,8492.316628718385,0.0,680.4638003264395,285623.1743049781,0.029732589624014878,0.6307719146605798,0.36922808533942014,study_ready_signal,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120081,노원역,노원구,0.8023952095808383,core_80pct_all_periods,75.31039125504049,5,2,3,4.0,88785.2725671643,0.0,386173.5669700355,186404.36990155175,11115.783748111882,16313.674823239646,0.0,688792.6680101032,0.016138069210615984,0.5767909113578427,0.39952463963318435,feature_rich_validation_needed,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3130098,회기시장,동대문구,0.9880239520958084,core_80pct_all_periods,74.94910941475827,6,0,0,2.0,26567.09047802363,4015.2402193054045,114251.69471428964,73902.97077431944,12233.17751098525,0.0,0.0,230970.1736969234,0.05296431705955893,0.5476242676738295,0.4349914954135109,study_ready_signal,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120094,"신촌역(신촌역, 신촌로터리)",서대문구,0.344311377245509,exploration_25pct_all_periods,74.17342335805169,7,3,3,5.0,91150.09054447802,29648.379894818107,395291.86063170136,87462.2318251567,34737.895843396895,12405.990892404228,5246.991273050798,655943.4409050061,0.0529586755154819,0.6635888410555598,0.27229835871703056,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120059,구삼강변맛길,광진구,0.9041916167664672,core_80pct_all_periods,74.08919802744724,8,2,1,2.0,61268.04741945343,0.0,185388.94488635965,123588.87016821449,4657.6436878948525,0.0,0.0,374903.5061619224,0.012423579964822191,0.5069213422938024,0.49307865770619774,feature_rich_validation_needed,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120012,대학로(혜화역),종로구,0.8473053892215568,core_80pct_all_periods,73.83858908977186,9,1,2,14.0,119018.99721976265,24904.84279432879,376320.1739881035,70829.60335126307,36231.55629336065,0.0,0.0,627305.1736468187,0.05775746449328585,0.6576571461751348,0.3026415348487354,study_ready_signal,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120068,사가정역,중랑구,0.9910179640718564,core_80pct_all_periods,73.2442748091603,10,0,0,1.0,20323.39270594775,0.0,79360.38305093981,112125.1848491328,2632.6890204494002,0.0,0.0,214441.64962646976,0.012276948181639208,0.38235609646825036,0.6176439035317496,feature_rich_validation_needed,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120070,한성대입구역,성북구,0.7694610778443114,base_50pct_all_periods,73.22651147940671,11,0,3,4.0,27285.588050314596,0.0,118610.09456764521,84497.46521586005,6112.987137784269,0.0,0.0,236506.13497160413,0.025847055250884796,0.5273566443441488,0.47264335565585125,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
